epoch,train_loss,val_loss,train_accuracy,val_accuracy,time
1,4.847,4.492,0.056,0.078,184.688
2,4.193,4.009,0.103,0.136,176.798
3,4.053,3.879,0.122,0.148,176.911
4,3.987,3.741,0.129,0.175,177.025
5,3.947,3.777,0.136,0.164,177.067
6,3.923,3.734,0.140,0.161,177.127
7,3.901,3.708,0.143,0.176,176.962
8,3.890,3.731,0.147,0.169,177.040
9,3.877,3.692,0.148,0.171,177.124
10,3.871,3.626,0.150,0.190,176.953
11,3.861,3.707,0.151,0.172,177.088
12,3.295,2.943,0.242,0.316,177.208
13,3.078,2.823,0.283,0.338,176.975
14,3.002,2.783,0.299,0.347,176.988
15,2.943,2.740,0.312,0.355,177.116
16,2.898,2.720,0.321,0.359,177.182
17,2.856,2.676,0.327,0.363,177.110
18,2.814,2.611,0.339,0.385,176.913
19,2.780,2.609,0.341,0.379,176.871
20,2.748,2.610,0.349,0.383,176.995
21,2.729,2.555,0.354,0.400,176.808
22,2.698,2.554,0.359,0.395,177.050
23,2.682,2.541,0.362,0.399,176.937
24,2.664,2.504,0.368,0.405,176.962
25,2.649,2.515,0.369,0.408,177.036
26,2.635,2.486,0.373,0.405,176.726
27,2.621,2.483,0.376,0.409,177.117
28,2.607,2.506,0.378,0.398,176.909
29,2.289,2.193,0.450,0.477,177.282
30,2.176,2.171,0.474,0.481,177.067
31,2.118,2.124,0.485,0.486,177.125
32,2.083,2.115,0.495,0.488,177.055
33,2.059,2.105,0.499,0.493,177.046
34,2.030,2.104,0.505,0.493,177.302
35,2.015,2.092,0.509,0.492,176.953
36,1.995,2.084,0.512,0.500,177.180
37,1.977,2.071,0.516,0.503,176.913
38,1.968,2.053,0.519,0.503,177.090
39,1.957,2.071,0.521,0.501,177.069
40,1.861,2.023,0.544,0.507,176.688
41,1.829,2.015,0.552,0.513,176.521
42,1.816,2.010,0.555,0.510,176.085
43,1.810,2.006,0.557,0.515,176.741
44,1.805,2.000,0.557,0.517,176.772
45,1.793,2.004,0.560,0.515,176.883
46,1.788,1.995,0.562,0.519,177.130
47,1.777,2.009,0.565,0.513,177.064
48,1.780,2.004,0.564,0.514,177.217
49,1.779,1.993,0.565,0.517,176.869
50,1.776,1.997,0.564,0.516,177.146
